"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATP5J2",6.29636486661589e-16,0.760898267569465,0.83,0.518,1.49123105500931e-11
"MED19",6.41237761071707e-16,0.556984469292499,0.458,0.18,1.51870751332223e-11
"RSL1D11",7.89777475452889e-16,0.600755620158469,0.98,0.872,1.87050897286262e-11
"ATP6V1B23",8.71982279992579e-16,0.549633977898314,0.804,0.398,2.06520283193442e-11
"FADS12",8.91512277480945e-16,0.989671776426794,0.706,0.4,2.11145767798587e-11
"ATF32",9.49294353374308e-16,0.725997775356517,0.431,0.176,2.24830874653171e-11
"ATRN1",1.04839775269582e-15,1.01541235805995,0.471,0.201,2.48302523748477e-11
"FAM114A11",1.07605928375839e-15,0.848734915123199,0.915,0.804,2.54853880765337e-11
"IFT812",1.09480977437514e-15,0.965515331296075,0.627,0.348,2.59294746963008e-11
"FAM174A1",1.14757783159184e-15,0.701262504339699,0.373,0.133,2.71792333634211e-11
"CAPZA21",1.21837237229919e-15,0.546501964108516,0.843,0.491,2.88559312655339e-11
"EIF3C1",1.38226428510178e-15,0.77631248880158,0.889,0.648,3.27375473283506e-11
"CLEC2B3",1.41526141137789e-15,0.908560804147335,0.745,0.384,3.3519051267074e-11
"NADKD11",1.57695163339336e-15,0.812640235335976,0.667,0.415,3.73485224852883e-11
"FANCI",1.81425159205593e-15,0.584809610555513,0.366,0.132,4.29687347062527e-11
"ZFYVE163",1.96101037642103e-15,0.720797900686186,0.588,0.266,4.64445697551557e-11
"DGUOK",2.03920252905618e-15,0.95062729070083,0.81,0.412,4.82964726981667e-11
"PRPSAP2",2.04234126366644e-15,1.0399985586491,0.51,0.21,4.83708104886761e-11
"PICALM1",2.13270747222074e-15,0.632062686116575,0.595,0.282,5.05110437720759e-11
"MRPL242",2.33867735539549e-15,0.617591986896886,0.699,0.32,5.53892344851867e-11
"JAM31",2.84713652610407e-15,0.889305502058908,0.373,0.135,6.74315814842487e-11
"POFUT1",3.14681343277221e-15,0.701351758139679,0.771,0.555,7.4529129341777e-11
"SCFD2",3.51218421218046e-15,0.946939467900436,0.386,0.142,8.3182570881282e-11
"CLMN2",3.52965532819813e-15,1.12587023977564,0.68,0.433,8.35963567930446e-11
"TMBIM41",3.55818159516596e-15,0.552755613580948,0.954,0.772,8.42719728999107e-11
"RAD51C1",3.57293630203495e-15,0.799690552839211,0.49,0.203,8.46214233773958e-11
"CREB52",3.79908784999673e-15,0.83686406876542,0.438,0.175,8.99775966393225e-11
"ATP5O",3.89092664250678e-15,0.54794092640623,0.876,0.538,9.21527066011306e-11
"ZNF577",4.40859967715892e-15,0.552583524605311,0.359,0.142,1.04413274753832e-10
"PSMA1",4.85259133939185e-15,0.640612739096321,0.856,0.567,1.14928773282157e-10
"EIF4H",4.87950891469948e-15,0.631680624934394,0.915,0.635,1.15566289135742e-10
"ATP10B2",5.36038987977567e-15,1.17352719679544,0.288,0.091,1.26955473912607e-10
"GSPT2",7.04828940964788e-15,1.84417957948996,0.255,0.074,1.669316863781e-10
"THNSL2",7.2114883509152e-15,0.772447457862543,0.261,0.08,1.70796890103076e-10
"SBSPON1",7.24999745325428e-15,2.42226359302814,0.732,0.499,1.71708939682874e-10
"C1orf123",8.48366397045934e-15,1.52384803733907,0.542,0.228,2.00927097476359e-10
"RAB3IP1",8.73608027462649e-15,0.925300877077096,0.863,0.652,2.06905325224254e-10
"ITGA21",9.15475610876856e-15,1.36935107039524,0.712,0.499,2.16821243680075e-10
"SPTSSA1",9.91661725069744e-15,0.512884023316827,0.725,0.452,2.34865162965518e-10
"IGFBP5",1.06741780191749e-14,1.25893518878871,0.255,0.076,2.52807232206138e-10
"C16orf91",1.19252946207251e-14,0.704904631747709,0.379,0.141,2.82438677797254e-10
"BACE1",1.37248533998402e-14,0.76926857662089,0.294,0.096,3.25059427921816e-10
"LAMTOR41",1.51270688493432e-14,0.501296764504644,0.856,0.555,3.58269498627844e-10
"PIK3R2",1.67478738492851e-14,2.11739954244491,0.641,0.379,3.96656644246469e-10
"MYO6",1.74367435225343e-14,0.735843053600077,0.647,0.39,4.12971833587701e-10
"SMUG12",1.75608375702676e-14,1.2210273863415,0.647,0.414,4.15910877014217e-10
"PPP1R16A",1.8924778691449e-14,1.06941720767106,0.301,0.101,4.48214458528278e-10
"GTF2H4",1.90557473440026e-14,0.735607137174011,0.314,0.104,4.51316320095357e-10
"VAPA1",2.0455255639689e-14,0.550350669054558,0.889,0.659,4.84462274570395e-10
"C7orf55",2.07387928074953e-14,0.637796325862706,0.967,0.791,4.91177568852719e-10
"LYRM4",2.23481030974501e-14,0.783552442899907,0.882,0.664,5.29292473760009e-10
"KCTD7",2.54888875466044e-14,0.826432056383149,0.503,0.222,6.03678812653778e-10
"KANK12",2.91856389125979e-14,0.730746746492951,0.471,0.206,6.91232672005969e-10
"EIF2S32",3.17423910064686e-14,0.701755596742415,0.98,0.882,7.51786788597202e-10
"SLX4IP",3.232381703107e-14,0.705299093264187,0.275,0.087,7.65557282563861e-10
"ZNF562",3.58853419475853e-14,0.670971994510161,0.895,0.76,8.49908438686609e-10
"LOC100505687",3.70024378750612e-14,1.79871508631379,0.49,0.252,8.7636573863295e-10
"ZNF6523",3.84833148121559e-14,0.517948142227109,0.915,0.756,9.11438828011101e-10
"TOMM72",4.01960610697301e-14,0.559276093397867,0.941,0.789,9.52003510375489e-10
"OCRL",4.15550909372061e-14,1.03889145401439,0.255,0.079,9.84190773756789e-10
"EGFEM1P1",4.32092723144282e-14,3.3286926262089,0.68,0.451,1.02336840549492e-09
"B3GALNT1",4.61040985599314e-14,2.13292571773446,0.275,0.096,1.09192947029341e-09
"SKP11",4.75106360285433e-14,0.599468389598601,0.935,0.776,1.12524190370002e-09
"MED20",4.85314214547642e-14,0.911759530732714,0.307,0.103,1.14941818573464e-09
"ANKRD392",5.05333951889573e-14,0.560305942591042,0.536,0.239,1.19683293165526e-09
"MSTO11",5.22301332792186e-14,1.20846794245869,0.471,0.196,1.23701847658501e-09
"PSMG11",5.27298738896128e-14,0.529390687514954,0.484,0.202,1.24885433320159e-09
"NDUFB32",5.51141428773646e-14,0.560795966305546,0.843,0.509,1.3053233599075e-09
"PTPN141",5.70801920940801e-14,0.590864860315741,0.935,0.819,1.35188726955619e-09
"NKIRAS21",5.90954663751328e-14,0.50981031086931,0.712,0.459,1.39961702562865e-09
"GRB10",6.36426779610559e-14,0.895127168604223,0.261,0.083,1.50731318482965e-09
"ENO22",6.70399790165745e-14,0.888252431132805,0.569,0.289,1.58777486302855e-09
"TCTN21",8.16793827725802e-14,0.78156598424981,0.732,0.486,1.93449450158579e-09
"RP9",8.86459682615491e-14,1.55369224111397,0.484,0.217,2.09949111230653e-09
"NDUFB112",9.28149778039506e-14,0.584553377416762,0.817,0.488,2.19822993430877e-09
"NDST11",9.93938336211705e-14,1.12903556917299,0.418,0.169,2.3540435554838e-09
"CAMTA1",1.01285725978507e-13,0.588020573735673,0.732,0.37,2.39885113407496e-09
"FAM172A1",1.01521667430084e-13,0.866213163775758,0.601,0.303,2.40443917141411e-09
"SCRN2",1.04242312816753e-13,0.719696145742627,0.458,0.192,2.46887493675199e-09
"MRPS27",1.16358209705317e-13,1.75733879015841,0.817,0.622,2.75582783866073e-09
"HINT11",1.23967256245803e-13,0.509226004936378,0.928,0.725,2.93604049692561e-09
"PDIA31",1.27943672003592e-13,0.663887791732621,0.935,0.695,3.03021792773308e-09
"SLC16A6",1.53765427629609e-13,0.863251738664359,0.294,0.102,3.64178038797966e-09
"STON1",1.54550950760398e-13,1.68308180038848,0.418,0.21,3.66038471780928e-09
"KDM3A1",1.54651538664573e-13,1.02919408420303,0.529,0.247,3.66276704173175e-09
"WLS2",1.66487363477412e-13,0.513854629790935,0.392,0.151,3.94308671659902e-09
"ZNF85",1.71994145891293e-13,0.626421096474995,0.477,0.213,4.07350935128938e-09
"CHP1",1.93793415192184e-13,0.729589349269175,1,0.982,4.58980324541169e-09
"PRPS1",1.95699223682209e-13,0.530097928187689,0.536,0.237,4.63494041368943e-09
"FAHD2A1",2.35858804856023e-13,0.865556161829349,0.471,0.211,5.58607993421004e-09
"IFT1221",2.41481607797667e-13,1.20736393147275,0.333,0.128,5.71925039907995e-09
"SERF1B",2.51959507552897e-13,1.24017266816493,0.876,0.723,5.96740897688282e-09
"GAS2L32",2.61367201605143e-13,1.0418067535984,0.373,0.146,6.19022080281621e-09
"UROD",2.83166949721458e-13,0.722829183842677,0.608,0.296,6.70652603720301e-09
"ATAD3A",2.90026548672898e-13,1.16809903079641,0.314,0.113,6.86898877876892e-09
"ASH2L",3.35621493870733e-13,0.787563235479526,0.503,0.227,7.94885946083443e-09
"LAMTOR22",3.36473692122594e-13,0.536762789217849,0.693,0.348,7.96904292423151e-09
"IER22",3.48458169750725e-13,1.71856847756151,0.824,0.563,8.25288329237617e-09
"RHBDF12",3.86336330007262e-13,1.21774747513911,0.314,0.112,9.14998963989199e-09
"SAMD4A2",4.4780095504353e-13,0.707142632754548,0.327,0.121,1.0605717819251e-08
"TGFB1I1",4.5508992028638e-13,0.547864008469761,0.275,0.09,1.07783496720626e-08
"SCML1",4.81062264356335e-13,1.79055624369911,0.275,0.091,1.13934786690154e-08
"NDUFS8",5.13902929477069e-13,0.805934111212844,0.771,0.436,1.21712769817349e-08
"YES11",5.49497514068932e-13,0.724797104378642,0.83,0.663,1.30142991232086e-08
"HIST1H4C1",5.59951165056162e-13,0.709449958659512,0.882,0.535,1.32618833931902e-08
"MRGPRX3",5.6819422352076e-13,6.26153067944004,0.366,0.171,1.34571119898657e-08
"DCTPP12",6.41481417117478e-13,0.90733253853119,0.529,0.243,1.51928458830103e-08
"LOC2848891",6.47869375667733e-13,1.08872407390018,0.359,0.137,1.53441382933146e-08
"ZNF2772",7.25990648985038e-13,0.616069922969051,0.601,0.342,1.71943625305616e-08
"SRP191",9.28162556151745e-13,0.714140404811026,0.706,0.374,2.19826019798979e-08
"CHST31",1.00895246455784e-12,1.10126995809697,0.314,0.127,2.38960301705879e-08
"SIPA1L22",1.23838231091201e-12,0.736374647823776,0.34,0.131,2.93298466516399e-08
"LDHB2",1.25522894605559e-12,0.528072975190241,0.974,0.806,2.97288423583806e-08
"LARP42",1.35083793278552e-12,0.696490798721557,0.627,0.309,3.19932456000923e-08
"SNF8",1.44806124041941e-12,0.559469016692665,0.379,0.156,3.42958824180932e-08
"SMAD5",1.87771844999338e-12,0.892092482214047,0.889,0.738,4.44718837696433e-08
"ATP5G31",2.06145647506198e-12,0.504984536102238,0.876,0.609,4.88235351553679e-08
"NONO",2.35840612509464e-12,0.622730978475437,0.961,0.792,5.58564906667414e-08
"FADS31",2.63621978783745e-12,0.516976880332749,0.353,0.137,6.24362294551421e-08
"FEZ1",2.76541557406064e-12,1.70111404587217,0.784,0.597,6.54961024560523e-08
"MOSPD2",3.09443182412144e-12,0.79208134091173,0.373,0.15,7.32885233224923e-08
"MDH11",3.65397916822686e-12,0.630554088398006,0.902,0.525,8.6540842620285e-08
"TTC23",4.16447139204153e-12,1.83548202197289,0.438,0.228,9.86313404491116e-08
"ELP6",4.44261394438398e-12,0.517995456218062,0.431,0.183,1.0521886865879e-07
"KLHL42",5.08813947325555e-12,1.02676908141384,0.477,0.223,1.20507495284584e-07
"LAMP11",5.285682194495e-12,0.70188890211575,0.431,0.193,1.25186097094419e-07
"LOC100507032",6.58456826734325e-12,0.685638629898709,0.667,0.38,1.55948914843758e-07
"KIAA17151",6.85933535101305e-12,0.697621903749169,0.699,0.469,1.62456498453393e-07
"ATP5C1",7.40153575345843e-12,0.614411724520878,0.856,0.571,1.75297972784909e-07
"LOC1005062331",8.19475598773744e-12,0.936279718882265,0.333,0.128,1.94084600813574e-07
"HOXB72",8.88992816063691e-12,2.01128993223485,0.366,0.144,2.10549058556525e-07
"KANK21",9.74107168244737e-12,1.12218283660625,0.595,0.382,2.30707541727084e-07
"YBX1",9.8186316684889e-12,0.644824098596727,0.908,0.599,2.32544472436491e-07
"TCEB21",1.03249639429891e-11,1.07446999456592,0.895,0.619,2.44536446025754e-07
"LOC100134229",1.05353781947081e-11,0.842821844981935,0.608,0.388,2.49519897163466e-07
"PRKCA3",1.06947941220859e-11,0.613781202259226,0.83,0.679,2.53295503987483e-07
"UMPS",1.10198244027819e-11,1.19100331893143,0.647,0.426,2.60993521155485e-07
"NQO12",1.18528363451405e-11,0.718465348705087,0.837,0.698,2.80722575998307e-07
"LAPTM4A1",1.24252658674379e-11,0.569790059489915,0.856,0.489,2.94279996804398e-07
"DBI2",1.50875350385466e-11,0.525012583525356,0.863,0.524,3.57333179852938e-07
"MLX2",2.0967529591539e-11,0.592594949332052,0.627,0.329,4.9659497084601e-07
"SSR1",2.39753654059456e-11,0.615655217143207,1,0.97,5.67832554274417e-07
"FRMD81",2.58049832220394e-11,0.592267623164152,0.732,0.56,6.11165222630782e-07
"DECR21",2.88048801351277e-11,0.81232712416126,0.261,0.093,6.82214781120365e-07
"PSMB31",3.12795541378404e-11,0.558215446253362,0.83,0.556,7.40824960200613e-07
"CDON",3.16789500883743e-11,1.33955395429435,0.556,0.336,7.50284253893057e-07
"HSF41",3.31699484588335e-11,1.32596609577498,0.261,0.097,7.85597059299013e-07
"CD27-AS11",3.43454384744239e-11,0.512374023935626,0.412,0.197,8.13437364828256e-07
"STK31",3.74126227283977e-11,1.37625754424715,0.373,0.154,8.86080556699372e-07
"TMEM2312",4.91399666718895e-11,1.1287173261733,0.379,0.175,1.16383097065703e-06
"BRF2",8.16544598050535e-11,1.01498827438771,0.275,0.1,1.93390422602289e-06
"GDNF",1.11430954716688e-10,0.708188652507707,0.503,0.291,2.63913073151004e-06
"TMSB101",1.42165055581421e-10,0.571631808479527,1,0.976,3.36703717639038e-06
"CPEB11",1.73952407507527e-10,2.43863541916957,0.353,0.159,4.11988881940827e-06
"CCNB1IP11",2.06779400414095e-10,0.904261773363392,0.464,0.235,4.89736331940744e-06
"MIR210HG1",2.54413564857635e-10,2.34728575208045,0.529,0.332,6.02553087008823e-06
"ZNF695",3.12525711023794e-10,1.87539589525763,0.275,0.114,7.40185893988753e-06
"LOC2027811",3.51908009751443e-10,1.30275066432619,0.686,0.445,8.33458930295317e-06
"ZSCAN26",3.67974491478603e-10,0.869111801571914,0.301,0.121,8.71510785617924e-06
"STAG3L1",3.68027504764673e-10,0.568822542132018,0.562,0.308,8.71636342284652e-06
"GBA2",4.18941891080108e-10,1.66165368023771,0.34,0.146,9.92221974834127e-06
"FZD3",4.23225289429579e-10,0.780911396379673,0.922,0.789,1.00236677548501e-05
"SLC16A41",4.2328957189542e-10,1.21142451106203,0.797,0.648,1.00251902207711e-05
"POLR3F",4.84934545760733e-10,0.742476260137396,0.275,0.111,1.14851897817972e-05
"A1BG1",5.88306549708461e-10,0.501698684710638,0.366,0.158,1.39334523232952e-05
"AIM21",7.10609511131138e-10,1.04487755365684,0.379,0.179,1.68300756616299e-05
"RBP1",7.62168220220453e-10,0.522454528644372,0.536,0.358,1.80511921277012e-05
"VSIG10",9.33003433047398e-10,0.624199890038627,0.34,0.162,2.20972533082946e-05
"B4GALT5",1.1722457578316e-09,0.699762530245772,0.634,0.442,2.77634685284836e-05
"MOK2",1.29376523713832e-09,0.70654991796391,0.634,0.425,3.06415358763841e-05
"LARP1B",2.06169686988687e-09,0.56346224528636,0.333,0.15,4.88292286664006e-05
"MED141",2.09110508953384e-09,0.509283275338043,0.444,0.224,4.95257329405195e-05
"EMR21",2.2335784100698e-09,0.831842118111416,0.477,0.287,5.29000710640931e-05
"FAM27B2",2.55064011005299e-09,0.770913291541334,0.32,0.139,6.0409360366495e-05
"LOC7301021",4.44998699978192e-09,0.837249939180387,0.359,0.181,0.000105393492102835
"MET2",5.31782988885445e-09,0.696701274023283,0.621,0.442,0.000125947483087629
"HIP1",5.6517380313047e-09,0.908140650823296,0.902,0.807,0.000133855763533421
"CEP164",5.88329318592273e-09,1.31541731953373,0.405,0.189,0.000139339915815394
"TNFAIP21",6.81459892778954e-09,1.01671468217135,0.301,0.136,0.000161396961005767
"NUCKS11",8.33230071835532e-09,0.700807697966379,0.922,0.755,0.000197342210213528
"NPRL31",8.64088959439453e-09,0.824048003745446,0.464,0.262,0.00020465082915364
"WIPF31",8.93795881909945e-09,1.47075814919048,0.497,0.332,0.000211686616671551
"MCCC2",9.02813555820738e-09,0.874728367056432,0.712,0.516,0.000213822362560584
"MRPL281",9.23401282484584e-09,0.791911431833274,0.536,0.282,0.000218698359743649
"KLHL23",1.01333280373038e-08,1.84706814190634,0.301,0.146,0.000239997741235503
"SLC29A11",1.11357992074671e-08,1.96839716587736,0.405,0.193,0.000263740268429651
"CCDC28B",1.18572218494885e-08,0.652105165799987,0.268,0.11,0.000280826442283285
"B3GALNT21",1.61005746728677e-08,1.12570301807876,0.68,0.472,0.000381326010552199
"GLA1",2.08969078665373e-08,0.566179736749837,0.392,0.192,0.000494922365911069
"FUT12",2.30204746386662e-08,2.23303337990963,0.824,0.797,0.00054521692134217
"TMEM972",2.538116897829e-08,0.920398046254087,0.438,0.241,0.000601127606081821
"NUDT15",2.57571388138385e-08,0.961833710809402,0.654,0.494,0.000610032075666951
"TRAPPC13",3.14626508203089e-08,0.744575427784944,0.418,0.22,0.000745161422028197
"TMEM164",3.189892335987e-08,0.507263652999902,0.268,0.115,0.00075549410085516
"LINC004671",3.59846781787098e-08,1.62813958165836,0.288,0.122,0.000852261117984563
"CYB5D11",3.79064047761878e-08,0.525408000410049,0.294,0.145,0.000897775290719232
"LLPH2",4.64251510805281e-08,0.561390779827779,0.771,0.567,0.00109953327819123
"SPDYE2L",5.214161108499e-08,0.56455917451954,0.797,0.514,0.0012349219169369
"SPDYE2",5.214161108499e-08,0.56455917451954,0.797,0.514,0.0012349219169369
"KCTD5",5.26851172530398e-08,0.911095296557148,0.288,0.122,0.001247794317021
"PMS2P4",5.48991934692484e-08,0.550497245063964,0.353,0.177,0.00130023249812568
"FAM122B",6.21856745539355e-08,1.01175183565036,0.281,0.129,0.00147280551613541
"MYO1C",7.19207387492533e-08,1.08934420475048,0.706,0.488,0.00170337077653732
"VPS451",9.3932314468614e-08,1.24905243769492,0.503,0.276,0.00222469293587465
"STUB1",1.28542386446565e-07,0.810930245633732,0.379,0.191,0.00304439788060045
"LEMD2",1.44746804371821e-07,1.55909005175175,0.307,0.141,0.00342818331474221
"KBTBD61",1.9299569154249e-07,0.515655560001124,0.725,0.624,0.00457090995849234
"PRKAA2",2.57624726918831e-07,1.71953766803595,0.307,0.159,0.00610158403234559
"FN3KRP",2.90205772795487e-07,0.759943274087847,0.431,0.222,0.00687323352288832
"GPR161",2.98073563701416e-07,0.612555886678436,0.739,0.539,0.00705957428270434
"BRI31",3.30675169298596e-07,0.642030915183764,0.294,0.135,0.00783171070966795
"ADCY6",3.34703193029527e-07,1.42901675597486,0.667,0.526,0.00792711042371132
"KLHL5",4.25594492058043e-07,0.924113973213661,0.719,0.571,0.0100797799499027
"TMEM185B",4.3019589618714e-07,0.69454939071225,0.529,0.348,0.0101887596052962
"ZNF426",6.1880006100826e-07,0.572797022055036,0.634,0.48,0.0146556606449196
